id,chemin,classe,r_channel_mean,r_channel_var,r_channel_std,r_channel_25p,r_channel_50p,r_channel_75p,r_channel_iqr,g_channel_mean,g_channel_var,g_channel_std,g_channel_25p,g_channel_50p,g_channel_75p,g_channel_iqr,b_channel_mean,b_channel_var,b_channel_std,b_channel_25p,b_channel_50p,b_channel_75p,b_channel_iqr,r_hist_0,r_hist_1,r_hist_2,r_hist_3,g_hist_0,g_hist_1,g_hist_2,g_hist_3,b_hist_0,b_hist_1,b_hist_2,b_hist_3
26,../data/images/train/clean/02248_07.jpg,clean,117.88599444444445,2895.4665249555246,53.80953934903666,84.0,112.0,145.0,61.0,120.10026944444445,2917.234998816289,54.01143396371077,87.0,114.0,146.0,59.0,119.22849722222222,3144.6805529083254,56.077451376719374,82.0,115.0,147.0,65.0,18.0,49.08,18.88,14.05,17.32,49.47,18.42,14.79,19.65,46.85,18.33,15.16
27,../data/images/train/clean/01131_04.jpg,clean,112.3343111111111,2302.7575249698757,47.987055806434675,75.0,113.0,144.0,69.0,118.79673055555556,2364.932789866288,48.63057464051076,77.0,126.0,152.0,75.0,118.06937777777777,2988.6703311683955,54.668732664736204,71.0,118.0,166.0,95.0,19.8,43.67,30.9,5.64,18.36,32.54,43.24,5.86,18.86,36.71,35.8,8.63
28,../data/images/train/clean/WhatsApp Image 2020-05-10 at 4.59.16 PM (4).jpeg,clean,101.58377156659765,2295.1646041327726,47.907876222316226,63.0,105.0,134.0,71.0,105.24004830917875,2417.7298095214755,49.170415999068744,69.0,107.0,136.0,67.0,102.51382332643202,2688.082921407019,51.84672527177603,64.0,105.0,130.0,66.0,25.65,43.72,27.18,3.45,21.99,44.05,30.72,3.23,24.91,47.67,21.22,6.2
29,../data/images/train/clean/WhatsApp Image 2020-12-01 at 12.45.25 PM (2).jpeg,clean,107.57616638795987,6187.861981917127,78.66296448721677,43.0,73.0,190.0,147.0,99.88405779682274,5346.003214491642,73.11636762375196,41.0,68.0,174.0,133.0,95.41757681856187,4659.893663149927,68.26341379648345,43.0,65.0,165.0,122.0,44.99,22.38,7.93,24.7,47.81,19.99,11.67,20.52,49.03,19.02,16.75,15.19
30,../data/images/train/clean/WhatsApp Image 2020-08-08 at 12.03.20 PM.jpeg,clean,117.6517413864674,2671.5062439580247,51.68661571391596,82.0,120.0,145.0,63.0,116.02774180157742,2679.268997930843,51.76165567223331,84.0,110.0,139.0,55.0,113.35197177251972,3036.219847710286,55.10190421129098,80.0,104.0,135.0,55.0,16.0,41.08,34.47,8.45,12.13,55.0,22.47,10.41,14.64,55.86,17.95,11.56
31,../data/images/train/clean/WhatsApp Image 2020-05-09 at 2.03.38 PM (3).jpeg,clean,129.33694014447883,4255.9939584391395,65.23797941720099,76.0,128.0,177.0,101.0,120.54367905056759,4234.153406898024,65.07037272751727,66.0,121.0,164.0,98.0,110.31208978328173,3733.489622670989,61.10228819505035,64.0,107.0,145.0,81.0,20.21,29.31,31.18,19.31,23.94,29.32,31.9,14.84,24.96,39.88,23.55,11.61
32,../data/images/train/clean/WhatsApp Image 2020-08-20 at 7.38.12 AM (2).jpeg,clean,134.63745745122458,1436.042653809418,37.89515343430368,112.0,133.0,156.0,44.0,139.25996264009962,1383.9259146519883,37.201154748905154,116.0,134.0,170.0,54.0,122.95878580323786,1340.0497563505496,36.606690049095526,103.0,121.0,143.0,40.0,3.5,42.08,44.34,10.08,2.69,40.81,46.43,10.07,6.24,51.03,41.29,1.44
33,../data/images/train/clean/00957_07.jpg,clean,134.76990833333332,2706.0857328249303,52.020051257423134,94.0,136.0,181.0,87.0,137.91934166666667,2602.3410747888192,51.01314609773464,99.0,138.0,185.0,86.0,137.50677777777778,2823.8757429506168,53.140151890548985,100.0,139.0,189.0,89.0,9.42,34.33,33.82,22.44,7.79,35.36,33.54,23.31,9.54,34.41,32.05,24.0
34,../data/images/train/clean/00674_06.jpg,clean,120.06626944444444,1842.3834889162881,42.92299487356734,89.0,127.0,146.0,57.0,121.61604722222222,2022.3701052644365,44.97076945377337,87.0,129.0,149.0,62.0,121.1620138888889,2421.1115153886963,49.20479158972931,83.0,126.0,149.0,66.0,11.97,38.5,44.9,4.62,12.69,36.06,45.5,5.75,14.49,37.4,39.59,8.52
35,../data/images/train/clean/WhatsApp Image 2020-08-31 at 9.29.10 AM.jpeg,clean,134.00120440657506,1876.8225080106324,43.32230958767818,105.0,140.0,163.0,58.0,129.02383755765953,1738.8956308685579,41.700067516354906,105.0,131.0,154.0,49.0,117.5329782711176,1778.9443534215677,42.177533752242645,92.0,117.0,146.0,54.0,6.4,33.96,54.35,5.28,6.53,39.29,48.43,5.75,9.7,47.72,39.16,3.42
36,../data/images/train/clean/00058_02.jpg,clean,109.35364166666666,2739.125651460486,52.33665686171105,68.0,97.0,151.0,83.0,113.70176388888889,2576.9986357775842,50.764147149120745,75.0,100.0,157.0,82.0,102.0342888888889,3587.042257605433,59.89192147197678,56.0,87.0,152.0,96.0,20.98,43.37,26.96,8.69,15.69,48.31,26.96,9.05,30.3,38.36,20.8,10.54
37,../data/images/train/clean/WhatsApp Image 2020-12-27 at 12.39.23 PM.jpeg,clean,120.80639214046823,1150.182783555256,33.91434480504166,105.0,122.0,139.0,34.0,139.4629974916388,1503.0009092424693,38.768555676507596,120.0,142.0,168.0,48.0,143.46294941471572,3562.534864712325,59.68697399527241,114.0,135.0,168.0,54.0,6.87,51.34,39.43,2.36,5.39,27.39,61.16,6.06,10.3,29.46,37.24,23.0
38,../data/images/train/clean/01076_01.jpg,clean,124.62884166666667,2854.081605380485,53.423605319937785,90.0,105.0,180.0,90.0,127.70908333333334,2800.3660841597225,52.91848527839513,93.0,107.0,184.0,91.0,126.82175277777777,3161.8177251499924,56.23004290546107,92.0,110.0,186.0,94.0,9.32,54.89,16.64,19.15,7.19,56.67,14.62,21.52,11.97,51.88,13.88,22.27
39,../data/images/train/clean/WhatsApp Image 2020-07-06 at 9.41.55 AM (6).jpeg,clean,133.05664164164165,4099.978238170879,64.03107244276703,80.0,130.0,178.0,98.0,135.286011011011,4052.8476521560356,63.66197964370913,82.0,133.0,184.0,102.0,99.84454954954955,4013.6812055278265,63.353620303245705,52.0,85.0,127.0,75.0,17.4,31.26,31.76,19.58,16.37,31.07,30.88,21.69,33.98,41.21,12.03,12.78
40,../data/images/train/clean/WhatsApp Image 2020-10-04 at 10.40.19 AM (2).jpeg,clean,124.99319307866868,2361.6298165629487,48.59660293233416,94.0,123.0,149.0,55.0,122.48192605900151,2435.2314036654852,49.34806382894354,95.0,119.0,140.0,45.0,116.03620083207262,2823.7024621926475,53.13852145282787,83.0,112.0,131.0,48.0,9.8,44.93,35.94,9.33,10.32,51.29,28.1,10.3,14.09,57.45,17.95,10.51
41,../data/images/train/clean/WhatsApp Image 2020-05-12 at 9.01.11 AM (15).jpeg,clean,115.7257345971564,1842.3708237757965,42.922847340033215,95.0,121.0,140.0,45.0,110.82862032648762,1493.065752756849,38.64020901543946,91.0,113.0,131.0,40.0,94.29921011058453,1619.9267713613303,40.24831389463825,66.0,89.0,116.0,50.0,16.71,43.04,36.34,3.91,16.51,54.44,25.75,3.3,22.98,60.51,13.41,3.09
42,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.25.10 AM (3).jpeg,clean,137.41830841820442,4428.799650222481,66.54922726991262,90.0,109.0,161.0,71.0,138.03804231370373,4345.516357330955,65.9205306208237,93.0,112.0,158.0,65.0,118.27300500403348,5927.575788320041,76.99075131676558,61.0,88.0,146.0,85.0,3.46,59.37,14.57,22.59,4.77,58.82,14.12,22.29,28.01,41.45,8.77,21.77
43,../data/images/train/clean/WhatsApp Image 2021-01-11 at 9.15.40 AM (2).jpeg,clean,124.36101595006934,2558.2425974421867,50.57907272224538,83.0,119.0,143.0,60.0,139.25093446601943,3098.968652906247,55.66838108752802,98.0,125.0,151.0,53.0,135.10432905686545,4002.2626608709143,63.26343857925298,93.0,109.0,149.0,56.0,8.36,55.35,17.53,18.75,0.39,53.28,25.18,21.14,1.09,66.02,11.64,21.26
44,../data/images/train/clean/WhatsApp Image 2021-01-11 at 9.38.37 AM (3).jpeg,clean,95.58913477537438,1345.7732945924847,36.68478287508984,65.0,103.0,113.0,48.0,105.27705490848585,1308.92264157602,36.179035940389845,75.0,109.0,119.0,44.0,104.04618136439268,1230.0440236875722,35.071983458133246,78.0,106.0,116.0,38.0,24.34,60.33,15.06,0.27,14.88,66.42,13.8,4.9,12.85,69.54,12.62,5.0
45,../data/images/train/clean/WhatsApp Image 2020-10-15 at 9.23.28 AM (3).jpeg,clean,122.70648856963088,5606.921732227325,74.87938122225187,63.0,90.0,175.0,112.0,119.47313863255033,5318.741994490429,72.92970584398671,65.0,88.0,169.0,104.0,113.24546979865772,4983.107316935334,70.59112774942282,67.0,89.0,140.0,73.0,25.64,37.24,14.6,22.52,22.39,42.96,13.15,21.5,22.12,49.03,10.59,18.26
46,../data/images/train/clean/00081_06.jpg,clean,131.53777222222223,2244.548751037007,47.376668846986355,95.0,139.0,161.0,66.0,136.78672777777777,1881.8662427370066,43.38048227875073,117.0,140.0,158.0,41.0,136.0325,2230.9720715277767,47.23316707069066,116.0,139.0,165.0,49.0,8.76,34.59,47.14,9.51,7.93,29.02,52.76,10.29,10.25,27.7,50.52,11.54
47,../data/images/train/clean/WhatsApp Image 2020-08-05 at 8.50.40 AM (1).jpeg,clean,124.65020903010033,2377.747766121301,48.76215506026473,95.0,115.0,142.0,47.0,126.26647157190635,2281.811049757552,47.76830591257714,99.0,120.0,141.0,42.0,121.8033723522854,2362.5426307677085,48.605993774098565,95.0,113.0,138.0,43.0,5.8,57.82,25.72,10.67,5.86,55.86,28.14,10.14,7.27,58.56,24.52,9.65
48,../data/images/train/clean/00091_03.jpg,clean,106.90938333333334,3069.3017663975006,55.401279465347194,65.0,99.0,129.0,64.0,115.26952222222222,2929.6692411050617,54.12641906781809,67.0,119.0,147.0,80.0,119.3253611111111,3209.8409234807095,56.65545802021823,67.0,130.0,160.0,93.0,23.27,50.91,14.7,11.12,18.26,41.13,30.04,10.57,17.89,31.87,39.78,10.46
49,../data/images/train/clean/WhatsApp Image 2020-07-11 at 5.39.59 PM (8).jpeg,clean,123.35390884896873,2109.6595888459833,45.93103078362147,94.0,117.0,145.0,51.0,121.97340984697271,2063.211418712265,45.42258709840585,96.0,115.0,141.0,45.0,111.49615768463075,2314.0278495080693,48.10434335388094,81.0,104.0,133.0,52.0,8.09,52.46,29.7,9.75,8.24,58.56,23.73,9.48,13.47,59.12,19.1,8.32
50,../data/images/train/clean/WhatsApp Image 2020-05-10 at 3.38.05 PM (7).jpeg,clean,102.91105789473684,3300.2924559685785,57.448171911459276,68.0,84.0,126.0,58.0,97.18092456140351,3018.144176829396,54.937638981206646,67.0,83.0,113.0,46.0,84.18275789473684,2373.3597083238415,48.717139779792504,54.0,83.0,100.0,46.0,19.82,55.46,12.92,11.8,21.73,57.26,12.84,8.18,29.95,56.96,9.26,3.83
51,../data/images/train/clean/01482_02.jpg,clean,131.3846,2942.6491995066667,54.246190645119654,98.0,116.0,195.0,97.0,133.15593611111112,2893.5180978181397,53.79143145351441,100.0,117.0,197.0,97.0,130.4014361111111,3202.4744907153627,56.590409882906506,96.0,117.0,197.0,101.0,11.02,47.98,11.51,29.49,10.01,48.35,11.3,30.34,13.11,46.71,9.79,30.39
52,../data/images/train/clean/WhatsApp Image 2020-07-20 at 9.06.31 PM (2).jpeg,clean,156.6864749837557,3030.3619912129875,55.048723792772776,119.0,157.0,187.0,68.0,156.83277452891488,3458.0984359017298,58.805598678201804,116.0,152.0,195.0,79.0,153.0530636777128,4134.964770340974,64.3036917318203,103.0,147.0,200.0,97.0,4.38,25.01,47.54,23.08,4.47,29.87,40.1,25.56,5.82,33.1,35.12,25.95
53,../data/images/train/clean/WhatsApp Image 2020-05-08 at 2.18.57 PM (3).jpeg,clean,89.17200810185186,6590.694626175859,81.18309322867576,13.0,56.0,162.0,149.0,87.63350694444445,5602.637048580968,74.85076518367042,20.0,60.0,146.0,126.0,79.26959201388888,5048.569539474752,71.05328661979509,22.0,50.0,127.0,105.0,51.02,11.93,21.73,15.32,50.78,17.21,19.69,12.32,53.77,21.54,14.34,10.35
54,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.27.44 PM (1).jpeg,clean,117.99158508158509,2003.7668289560474,44.763454166943454,90.0,126.0,145.0,55.0,112.77926573426573,2083.9645747522286,45.650460838333586,81.0,119.0,138.0,57.0,113.35501748251748,2561.020728321373,50.60652851482082,75.0,119.0,143.0,68.0,15.84,36.19,43.82,4.16,18.76,42.89,33.87,4.48,20.39,37.43,35.94,6.24
55,../data/images/train/clean/WhatsApp Image 2020-12-26 at 8.22.50 AM.jpeg,clean,134.67339285714286,1765.6961882863638,42.020187865909925,109.0,125.0,144.0,35.0,136.22095350404314,1728.6625441043072,41.57718778494172,111.0,126.0,144.0,33.0,132.32531334231805,1733.9902595042429,41.64120867006916,108.0,121.0,137.0,29.0,0.02,54.6,35.51,9.86,0.01,53.34,36.55,10.11,0.04,61.95,28.21,9.81
56,../data/images/train/clean/WhatsApp Image 2020-10-06 at 3.11.10 PM (1).jpeg,clean,143.08275963808026,3437.1634399847126,58.6273267340812,98.0,145.0,182.0,84.0,144.2025963808025,3396.487278860695,58.27938982917284,100.0,146.0,181.0,81.0,141.2745869394178,3691.8395312023154,60.760509635801405,89.0,145.0,180.0,91.0,11.71,27.26,39.91,21.12,9.8,28.18,41.09,20.93,11.62,28.73,39.17,20.48
57,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.11.28 AM (8).jpeg,clean,127.5047,3629.0061310350025,60.24123281470095,80.0,107.0,177.0,97.0,106.55492447916667,2921.387726009921,54.049863330168755,65.0,88.0,142.0,77.0,84.235171875,2455.2647827308765,49.55062847967598,48.0,71.0,107.0,59.0,9.46,50.39,20.49,19.67,23.75,46.48,17.54,12.24,42.78,40.41,9.29,7.52
58,../data/images/train/clean/00091_02.jpg,clean,105.31020277777777,2947.182543681103,54.287959472438295,63.0,98.0,127.0,64.0,113.3737388888889,2905.94109702071,53.906781549455445,67.0,115.0,144.0,77.0,117.792975,3188.4237045382647,56.46612882550268,66.0,114.0,159.0,93.0,25.55,49.47,14.83,10.15,21.83,38.35,30.08,9.74,21.78,30.04,38.71,9.48
59,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.13.12 AM (10).jpeg,clean,84.95590885416667,4323.076108575027,65.75010348718112,30.0,50.0,149.0,119.0,85.7112125,4441.03503719651,66.64109120652594,30.0,48.0,153.0,123.0,91.52853541666667,4795.799926355,69.25171424849351,33.0,52.0,168.0,135.0,56.48,9.95,27.46,6.1,56.28,8.19,29.22,6.31,54.7,8.34,28.27,8.69
60,../data/images/train/clean/WhatsApp Image 2020-08-08 at 12.03.20 PM (1).jpeg,clean,98.43305418719211,1766.5630114163305,42.03050096556464,65.0,98.0,141.0,76.0,88.93932950191571,1693.1266283407986,41.147619959613685,54.0,87.0,130.0,76.0,84.41010125889436,1736.99400907568,41.67726009559266,47.0,82.0,128.0,81.0,24.14,41.44,34.28,0.13,29.12,42.58,28.26,0.03,33.75,40.52,25.71,0.02
61,../data/images/train/clean/00081_07.jpg,clean,128.56877777777777,1977.1714196172843,44.46539575464593,107.0,137.0,156.0,49.0,133.95758055555555,1878.4024589240664,43.340540593352856,124.0,139.0,156.0,32.0,133.0372361111111,2410.1849718053627,49.0936347381752,109.0,142.0,166.0,57.0,11.83,31.42,50.41,6.33,10.19,18.01,63.65,8.14,13.1,28.31,48.05,10.55
62,../data/images/train/clean/WhatsApp Image 2020-10-02 at 11.35.04 AM (1).jpeg,clean,135.80637961029925,4866.914856308224,69.76327727614454,72.0,128.0,198.0,126.0,125.89064196242171,4473.634194264292,66.88523151088208,68.0,116.0,186.0,118.0,113.04550060890745,4386.01741429793,66.22701423360357,50.0,105.0,174.0,124.0,16.06,33.89,19.2,30.85,20.95,30.33,28.01,20.72,35.04,18.81,34.69,11.46
63,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.24.31 PM (1).jpeg,clean,124.09762376237624,2633.0419547495344,51.31317525499211,94.0,119.0,131.0,37.0,124.30982508250825,2585.129523269734,50.844169019364784,98.0,117.0,133.0,35.0,121.18975247524753,2594.8806837671136,50.93997137579794,94.0,112.0,128.0,34.0,7.53,63.22,18.12,11.13,7.33,63.49,18.38,10.8,6.99,67.76,14.6,10.65
